unique_samplingProtocol_value,n_count
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=86; DistanceTrawledInNM=2.72; SurfaceSeaTemperatureInC=12.4; SeaTemperatureAtSampleDeviceInC=9.2,17
TrawlType=B.TR. 28.8; HorizontalOpeningInM=32; VerticalOpeningInM=13; WarpLengthInM=750,17
large 4 meter hexagon-net; wire out: 30 m; towing duration: 30 m.,17
"Hayward grab, Secchi disk, forams",17
GILL NETS,17
TrawlType=B.TR. 58; HorizontalOpeningInM=27; VerticalOpeningInM=11; WarpLengthInM=1200,17
GearType=High-opening Bottom Trawl; HeadlineHeightInMetres=6.2; DoorDistanceInMetres=89.7; DistanceTrawledInNM=1.52; SurfaceSeaTemperatureInC=17.2; SeaTemperatureAtSampleDeviceInC=14.2,17
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=85.4; DistanceTrawledInNM=3.46,17
"Handcore (diameter 3,6 cm)",17
TrawlType=B.TR. 54; HorizontalOpeningInM=27; VerticalOpeningInM=12; WarpLengthInM=400,17
SHINSEI MARU/HYPER-DOLPHIN/Base station No.6,17
MT 1600  MT 1600,17
MRMLN00400000165_METH_001,17
stow net,17
100 FT. BLOCK NET AND 3 PAILS ROTENONE,17
"4m hexagonal net; wire out: 150, 75, S(17) m; towing duration: 10, 10, 10 min.; wire angle: 68 deg., 63 deg., 53 deg.",17
"6 FOOT SEINE, 28 FOOT SEINE",17
JNCCMNCR10000241_METH_009,17
"YOKOSUKA/SHINKAI 6500/Suction sampler, Canister bottle #1",17
"6 FOOT, 15 FOOT, 30 FOOT BAG SEINES",17
MRCCW31700000010_METH_015,17
TrawlType=M.TR. 108; HorizontalOpeningInM=60; VerticalOpeningInM=30; WarpLengthInM=350,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.1; DoorDistanceInMetres=83.8; DistanceTrawledInNM=1.57,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=82.4; DistanceTrawledInNM=2.94,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.8; DoorDistanceInMetres=111.6; DistanceTrawledInNM=3.01; SurfaceSeaTemperatureInC=10.6; SeaTemperatureAtSampleDeviceInC=8.1,17
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=143; DistanceTrawledInNM=0.43,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=67.9; DistanceTrawledInNM=3.02; SurfaceSeaTemperatureInC=13.3; SeaTemperatureAtSampleDeviceInC=12.9,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.7; DoorDistanceInMetres=85; DistanceTrawledInNM=2.95; SurfaceSeaTemperatureInC=12.1; SeaTemperatureAtSampleDeviceInC=10.7,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=69.7; DistanceTrawledInNM=2.94; SurfaceSeaTemperatureInC=14.6,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=77.1; DistanceTrawledInNM=3.06; SurfaceSeaTemperatureInC=14.2; SeaTemperatureAtSampleDeviceInC=13.8,17
MRMCS005000000E2_METH_001,17
MRMCS017000000F0_METH_001,17
bottom longline,17
12 ft. minnow seine (1/4 in. mesh),17
electrofisher at 300 v,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.4; DoorDistanceInMetres=122.2; DistanceTrawledInNM=2.98; SurfaceSeaTemperatureInC=10.2; SeaTemperatureAtSampleDeviceInC=7,17
gillnet,17
Fish trawl,17
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=86.4; DistanceTrawledInNM=2.8,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.7; DoorDistanceInMetres=125.3; DistanceTrawledInNM=3.05; SurfaceSeaTemperatureInC=8.8; SeaTemperatureAtSampleDeviceInC=6.6,17
live taken,17
picked by Peter Warren from grit dredged by Riley and Donna Black,17
drag-net on sand beach at night,17
laboratory-reared,17
Netted,17
Scoop,17
TrawlType=M.TR74/360; HorizontalOpeningInM=55; VerticalOpeningInM=35; WarpLengthInM=600,17
TrawlType=B.TR. 56.8; WarpLengthInM=1350,17
Transecto lineal 10 mx 1m de lado,17
TrawlType=B.TR. 43; HorizontalOpeningInM=16; VerticalOpeningInM=5; WarpLengthInM=780,17
Light Trap,17
Armadilha,17
TrawlType=B.TR. 56.8; WarpLengthInM=875,17
12 ft COMMONSENSE SEINE,17
TrawlType=M.TR. 77.4; HorizontalOpeningInM=36; VerticalOpeningInM=28; WarpLengthInM=1500,17
MRSNH03200000004_METH_025,17
ORI net; wire out: 75 m; towing duration: 30 min.; wire angle: 60 deg.; ship speed: 1.8 kts.,17
GearType=Bottom trawl; HeadlineHeightInMetres=3.6; DoorDistanceInMetres=86.7; DistanceTrawledInNM=5.4,17
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=74.8; DistanceTrawledInNM=2.96; SurfaceSeaTemperatureInC=11.4; SeaTemperatureAtSampleDeviceInC=11.4,17
GearType=Bottom trawl; HeadlineHeightInMetres=7.2; DoorDistanceInMetres=124; DistanceTrawledInNM=3.03; SurfaceSeaTemperatureInC=8.8; SeaTemperatureAtSampleDeviceInC=7.1,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.4; DoorDistanceInMetres=100; DistanceTrawledInNM=1.55,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.7; DoorDistanceInMetres=76.3; DistanceTrawledInNM=2.36; SurfaceSeaTemperatureInC=12.3; SeaTemperatureAtSampleDeviceInC=12.4,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.8; DoorDistanceInMetres=114; DistanceTrawledInNM=2.11; SurfaceSeaTemperatureInC=10.6; SeaTemperatureAtSampleDeviceInC=8.1,17
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=71.4; DistanceTrawledInNM=2.91; SurfaceSeaTemperatureInC=16.3; SeaTemperatureAtSampleDeviceInC=16.3,17
GearType=Bottom trawl; HeadlineHeightInMetres=7.1; DoorDistanceInMetres=106.2; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=10.7; SeaTemperatureAtSampleDeviceInC=8.8,17
MRMCS00200000044_METH_001,17
"rotenone, dip net",17
"synpren, scuba",17
"large 4 meter hexagon-net; wire out: 150, 75, 30 m; towing duration: 10, 10, 20 m; wire angle: 71 deg., 68 deg., -; ship speed: 1.5 kts.",17
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=90.7; DistanceTrawledInNM=5.3,17
GearType=Bottom trawl; HeadlineHeightInMetres=3.5; DoorDistanceInMetres=148; SurfaceSeaTemperatureInC=13.5,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.9; DoorDistanceInMetres=124; DistanceTrawledInNM=2.94; SurfaceSeaTemperatureInC=10.1; SeaTemperatureAtSampleDeviceInC=8.2,17
sorted from shell grunge collected at high tide line,17
"1.6 meter ORI-net; wire out: 2000, 1000, 700, 500 m; towing duration: 20, 20, 20, 20 min.; wire angle: 43 deg., 62 deg., 60 deg., 60 deg.; ship speed: 2.0 kts.",17
MRCON04300000002_METH_122,17
Conical dredge,17
lobster nets,17
1.6 meter ORI-net; wire out: 500 m; towing duration: 25 min.; wire angle: 42 deg.; ship speed: 1.5 kts.,17
TrawlType=B.TR. 37.5; WarpLengthInM=1400,17
Búsqueda intensiva bajo rocas sueltas de litoral rocoso y recolecta manual de especimen. Preservación en alcohol al 96%. Etiquetado,17
Marcaje en apnea,17
TrawlType=B.TR. 31; HorizontalOpeningInM=16; VerticalOpeningInM=9; WarpLengthInM=1030,17
TrawlType=B.TR. 25; HorizontalOpeningInM=15; VerticalOpeningInM=3; WarpLengthInM=1850,17
ORI net; wire out: 75 m; towing duration: 30 min.; wire angle: 31 deg.-40 deg.,17
4m hexagonal net; wire out: 75 m; towing duration: 30 min.; wire angle: 70 deg.,17
SHINSEI MARU/HYPER-DOLPHIN,17
"scuba diving, snorkeling (Samudera)",17
MRCCW32600000002_METH_032,17
MRMLN00400000175_METH_001,17
Baby trawl,17
MRMLN004000000B3_METH_029,17
180'-BT,17
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1300; BottomDepthInM=520,17
Coral nets,17
"20 FOOT SEINE, 100 FOOT SEINE",17
TrawlType=B.TR. 50.8; HorizontalOpeningInM=20; VerticalOpeningInM=6; WarpLengthInM=325,17
GearType=Bottom trawl; HeadlineHeightInMetres=6.5; DoorDistanceInMetres=123.9; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=9.4; SeaTemperatureAtSampleDeviceInC=6.9,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.7; DoorDistanceInMetres=120; DistanceTrawledInNM=3.06; SurfaceSeaTemperatureInC=9.8; SeaTemperatureAtSampleDeviceInC=7.3,16
GearType=Bottom trawl; HeadlineHeightInMetres=7; DoorDistanceInMetres=145,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=73.5; DistanceTrawledInNM=1.52; SurfaceSeaTemperatureInC=12.7; SeaTemperatureAtSampleDeviceInC=12.7,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.1; DoorDistanceInMetres=104.2; DistanceTrawledInNM=2.96; SurfaceSeaTemperatureInC=13.9; SeaTemperatureAtSampleDeviceInC=13.1,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.3; DoorDistanceInMetres=108.7; DistanceTrawledInNM=2.02; SurfaceSeaTemperatureInC=12.2; SeaTemperatureAtSampleDeviceInC=7.8,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.6; DoorDistanceInMetres=126; DistanceTrawledInNM=0.96; SurfaceSeaTemperatureInC=13.4; SeaTemperatureAtSampleDeviceInC=8.4,16
"noxfish, net, hand, knife",16
"synpren & ivory, snorkel",16
Naturalists dredge,16
"Net, 70cm diameter, vertical",16
GearType=High-opening Bottom Trawl; HeadlineHeightInMetres=6; DoorDistanceInMetres=83.5; DistanceTrawledInNM=1.55; SurfaceSeaTemperatureInC=14.2; SeaTemperatureAtSampleDeviceInC=13.6,16
GearType=Midwater Trawl; HeadlineHeightInMetres=55; DoorDistanceInMetres=230; DistanceTrawledInNM=2.03,16
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=138; DistanceTrawledInNM=1.5; SurfaceSeaTemperatureInC=14.7; SeaTemperatureAtSampleDeviceInC=6.2,16
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=92.1; DistanceTrawledInNM=5.38,16
"Sampling device : Carottier PVC diam. 20,5 cm (0,033 m²) ; Comptage des taxons après tamisage 1 mm (maille carrée)",16
trawled dredge; subsamplingcoefficient: 0.029,16
MRMCS01500000080_METH_001,16
homemade electroshocker & dipnets,16
MRPMN00100000035_METH_001,16
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=81.5; DistanceTrawledInNM=4.69,16
Brenke Sledge,16
TrawlType=B.TR. 54; HorizontalOpeningInM=27; VerticalOpeningInM=12; WarpLengthInM=450,16
GearType=Traps and tangles on bottom,16
TrawlType=B.TR. 56; WarpLengthInM=1450,16
"KAIYO/HYPER-DOLPHIN/Slurp gun, Canister 1&2&3",16
DASSHDT00000131_METH02,16
8 FOOT SEINE,16
collected by hand,16
MRCCW3170000000A_METH_007,16
MRCCW32600000002_METH_015,16
TrawlType=B.TR. 27.1; HorizontalOpeningInM=16; VerticalOpeningInM=8; WarpLengthInM=425,16
TrawlType=B.TR. 31; HorizontalOpeningInM=16; VerticalOpeningInM=9; WarpLengthInM=680,16
Agassiz-Tr.,16
"{""Method"":""trawl"",""CaptureMethod"":""net"",""VesselLengthinMetres"":""43+"",""TargetSpecies"":""Hoki"",""MitigationMethod"":""other""}",16
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1060,16
"Smith-McIntyre grab, screened from 6 quart bulk sample.",16
"NATSUSHIMA/SHINKAI 2000/Manipulator, In the Mud piled up in the Sample Box",16
WP2 net,16
small epibenthic sledge (rastra epibentónica chica),16
4m round net; wire out length: 75m; towing duration: 30 min.; wire angle: 71 deg.; night time sampling,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=88.4; DistanceTrawledInNM=3.17,16
MRMCS02000000029_METH_002,16
MRMCS0050000006C_METH_002,16
"light, dipnets",16
"4 ft. dredge & night light, dip nets",16
"1 qt. rotenone, hand, dipnet",16
"large 4 meter hexagon-net; wire out: 150, 75, 30 m; towing duration: 10, 13, 20 m; wire angle: 72 deg., 77 deg., -; ship speed: 1.5 kts.",16
6' hoop net & paravane,16
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=100; DistanceTrawledInNM=1.61; SeaTemperatureAtSampleDeviceInC=6.7,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=75.6; DistanceTrawledInNM=2.96,16
MRMES0020000001F_METH_002,16
Chalut à perche (beam trawl),16
river dredgings,16
"Dipnet, angling.",16
"beam trawl, 575 fa. line out",16
Baited hoop net,16
"70 cm and 100 cm tow nets. Mouth circular, 70 cm and 100 cm in diameter: mesh graded, at cod-end 74 to the linear inch. Oblique tows",16
"Chamber, Respirometer",16
MRSNH03200000005_METH_068,16
ROTENONE ON RIFFLES,16
TrawlType=B.TR. 31.7; WarpLengthInM=1400,16
MRMLN001000000C5_METH_001,16
"BAG SEINE, HABITAT SEINE",16
SHINSEI MARU/HYPER-DOLPHIN/Base station No.5,16
Lander,16
200 BT,16
125 ft. EXPERIMENTAL GILL NET,16
TrawlType=B.TR. 52; HorizontalOpeningInM=24; VerticalOpeningInM=10; WarpLengthInM=1350,16
DSN(SO):I.DEN.,16
standard lobster trap baited with alfonsino heads/ salt herring,16
MRMLN0020000002C_METH_001,16
Amphipod trap,16
"KAIMEI/KM-ROV/Slurp gun, outside of Canister",16
"Net, WP2,Phytoplankton, Free-fall",16
GearType=Bottom trawl; HeadlineHeightInMetres=2.2; DoorDistanceInMetres=132.2; DistanceTrawledInNM=0.48; SurfaceSeaTemperatureInC=7.2; SeaTemperatureAtSampleDeviceInC=7.2,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.9; DoorDistanceInMetres=127.8; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=9; SeaTemperatureAtSampleDeviceInC=6.8,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.2; DoorDistanceInMetres=137.2; DistanceTrawledInNM=2.99; SurfaceSeaTemperatureInC=17.1; SeaTemperatureAtSampleDeviceInC=9.1,16
GearType=Bottom trawl; HeadlineHeightInMetres=7; DoorDistanceInMetres=124.1; DistanceTrawledInNM=2.97; SurfaceSeaTemperatureInC=10; SeaTemperatureAtSampleDeviceInC=8,16
MRMCS0160000002A_METH_001,16
MRMCS0160000001A_METH_001,16
"night lights, dip nets; dynamite",16
bamboo stake trap net,16
acetone - liq. Rotenone,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.7; DoorDistanceInMetres=127; DistanceTrawledInNM=1.26; SurfaceSeaTemperatureInC=11.9; SeaTemperatureAtSampleDeviceInC=7.3,16
spear & dipnets,16
RGBT,16
MRLRC0070000000F_METH_003,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.8; DoorDistanceInMetres=74; DistanceTrawledInNM=2.97; SurfaceSeaTemperatureInC=13.9; SeaTemperatureAtSampleDeviceInC=13.7,16
puff station,16
TrawlType=B.TR. 30; HorizontalOpeningInM=17; VerticalOpeningInM=6; WarpLengthInM=332,16
MRCON02300000003_METH_030,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.7; DoorDistanceInMetres=73.8; DistanceTrawledInNM=2.5; SurfaceSeaTemperatureInC=13.8; SeaTemperatureAtSampleDeviceInC=14.2,16
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1420,16
MRSNH03200000005_METH_020,16
"ORI-69 net (wire out: 150 m), night",16
MRSNH03200000005_METH_070,16
TrawlType=B.TR. 31; HorizontalOpeningInM=16; VerticalOpeningInM=9; WarpLengthInM=475,16
MRMLN00400000167_METH_001,16
TrawlType=M.TR. 77.4; HorizontalOpeningInM=0; VerticalOpeningInM=0; WarpLengthInM=1000,16
"ROTENONE, 50 FT STOPNET, DIPNETS",16
MRSNH0300000003C_METH_001,16
6 AND 15 FOOT SEINES,16
Medium agassiz trawl,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=71.6; DistanceTrawledInNM=2.99; SurfaceSeaTemperatureInC=14.1; SeaTemperatureAtSampleDeviceInC=12.9,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.8; DoorDistanceInMetres=97; DistanceTrawledInNM=4.73,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=79.1; DistanceTrawledInNM=4.88,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=75.2; DistanceTrawledInNM=2.81; SurfaceSeaTemperatureInC=12.1; SeaTemperatureAtSampleDeviceInC=12.5,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.6; DoorDistanceInMetres=136.4; DistanceTrawledInNM=3.01; SurfaceSeaTemperatureInC=10.1; SeaTemperatureAtSampleDeviceInC=7,16
"2' dredge & night light, dip net",16
30' seine,16
"16' otter trawl, 125m wire out",16
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=80.5; DistanceTrawledInNM=2.97; SurfaceSeaTemperatureInC=12; SeaTemperatureAtSampleDeviceInC=11.9,16
"large otter trawl, 1850 m wire out",16
125 ml flasks containing Erdschreiber medium inoculated in the field with freshly drawn seawater,16
Rotenone and hand net,16
MTD net; mesh size: 0.5 mm; horizontal tow; wire out: 106 m,16
IKPT net; mesh size: 1 mm; oblique tow; wire out: 5000 m,16
TrawlType=B.TR. 56.8; WarpLengthInM=1650,16
MRMLN001000000A6_METH_001,16
"Hyperbenthic sledge (height 0,5m; mesh size 0,5mm)",16
LONGLINE,16
Mt 1600,16
bottom set gill net,16
TrawlType=B.TR. 30; HorizontalOpeningInM=17; VerticalOpeningInM=6; WarpLengthInM=302,16
ALBERTO 144,16
TrawlType=M.TR. 58; HorizontalOpeningInM=25; VerticalOpeningInM=12; WarpLengthInM=1150,16
"15 FOOT, 125 FOOT BAG SEINES",16
TrawlType=B.TR. 38; HorizontalOpeningInM=25; VerticalOpeningInM=7; WarpLengthInM=1150,16
"YOKOSUKA/SHINKAI 6500/Slurp gun, Bottle#2",16
MRCON02300000003_METH_021,16
MRSNH03200000005_METH_123,16
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=100; DistanceTrawledInNM=1.16; SeaTemperatureAtSampleDeviceInC=5.7,16
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=144; DistanceTrawledInNM=0.45,16
MRCCW3000000000F_METH_001,16
MRNIR0010000001A_METH_002,16
MRMCS0090000000A_METH_001,16
"spears, clubs, hands, feet, leaf trap",16
hand nets,16
boat,16
hand grenade,16
"emulsified rotenone (Pronoxfish), dip nets",16
"rotenone, dipnets, & face plates",16
PT 1216,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.1; DoorDistanceInMetres=87.8; DistanceTrawledInNM=4.39,16
MRLRC00700000019_METH_003,16
"2m tow net. Mouth circular, 2m in diameter: 4mm mesh graded, at cod-end. Horizontal tow",16
NBP flowing seawater system,16
SMALL BEAM TRAWL,16
TrawlType=B.TR. 31.7; WarpLengthInM=1000,16
GearType=beam trawl fished midwater,16
4m hexagonal net; wire out: S(30)m; towing duration: 30 min.; wire angle: 62 deg.,16
SHINSEI MARU/HYPER-DOLPHIN/Lander,16
KAIMEI/KM-ROV/Manipulator ,16
TrawlType=B.TR. 50.8; HorizontalOpeningInM=20; VerticalOpeningInM=6; WarpLengthInM=1435,16
Vertical tow; 64u mesh; pump,16
"125 FOOT BAG SEINE, 20 FOOT BAG SEINE",16
standard lobster trap baited with salt herring/ silver hake,16
3 FOOT SEINE,16
NATSUSHIMA/HYPER-DOLPHIN/Trap,16
MRCCW31700000004_METH_029,16
Pescadores,16
2 square foot Surber sample,16
"Brailing, polywogging, diving",16
Sediments of 5 cm of depth were sampled using acryl cores of 10 cm^2,16
"Phytoplankton samples were collected in triplicate and they were counted in a Sedgewick-Rafter Cell. A live phytoplankton sample (200mL) was observed within 6 h using a compound light microscope (Novex B-Range, Holland) at X200 and X400 in order to verify species identification.",16
GearType=Bottom trawl; HeadlineHeightInMetres=6.8; DoorDistanceInMetres=131.2; DistanceTrawledInNM=3.01; SurfaceSeaTemperatureInC=8.7; SeaTemperatureAtSampleDeviceInC=6.4,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.9; DoorDistanceInMetres=111.5; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=11.2; SeaTemperatureAtSampleDeviceInC=10,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.2; DoorDistanceInMetres=126.4; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=10.5; SeaTemperatureAtSampleDeviceInC=6.3,16
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=131; DistanceTrawledInNM=1.5; SurfaceSeaTemperatureInC=14.7; SeaTemperatureAtSampleDeviceInC=6.4,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.7; DoorDistanceInMetres=122.8; DistanceTrawledInNM=2.97; SurfaceSeaTemperatureInC=9.6; SeaTemperatureAtSampleDeviceInC=7.1,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.5; DoorDistanceInMetres=122.4; DistanceTrawledInNM=3.01; SurfaceSeaTemperatureInC=10.6; SeaTemperatureAtSampleDeviceInC=7.7,16
DASSHDT00000318_Meth01,16
72' shrimp trawl,16
"1.5 lb. TNT, dipnet, spear",16
explosives used in salvage operation,16
1300-0m wire out,16
"Synpren & Ivory, powder",16
"2 m. tow-net. Mouth circular, 2 m. in diameter (6-6 ft.): mesh graded, at cod-end 4 mm.",16
TrawlType=B.TR. 50.8; HorizontalOpeningInM=20; VerticalOpeningInM=6; WarpLengthInM=1340,16
KAIYO/DEEP TOW/Plankton net,16
GearType=Bottom trawl; HeadlineHeightInMetres=7; DoorDistanceInMetres=120.5; DistanceTrawledInNM=2.96; SurfaceSeaTemperatureInC=9; SeaTemperatureAtSampleDeviceInC=6.2,16
rastra epibentónica chica,16
benthos net by T/S Seisui-Maru,16
2m wide beam trawl,16
Snails & calcium timed search,16
Gravity corer (Kiel type),16
"2 INCH MESH GILLNET, SEINES",16
scor,16
MRSNH03200000002_METH_023,16
NATSUSHIMA/HYPER-DOLPHIN/Slurp gun + Manipulator,16
MRCCW31700000004_METH_006,16
JNCCMNCR10000627_METH_001,16
GearType=Bottom trawl; HeadlineHeightInMetres=5; DoorDistanceInMetres=79; DistanceTrawledInNM=3.04; SurfaceSeaTemperatureInC=11.4; SeaTemperatureAtSampleDeviceInC=11,16
GearType=High-opening Bottom Trawl; HeadlineHeightInMetres=6.8; DoorDistanceInMetres=79.1; DistanceTrawledInNM=1.51; SurfaceSeaTemperatureInC=14.8; SeaTemperatureAtSampleDeviceInC=14.7,16
GearType=High-opening Bottom Trawl; HeadlineHeightInMetres=6; DoorDistanceInMetres=74.5; DistanceTrawledInNM=1.52; SurfaceSeaTemperatureInC=18.1; SeaTemperatureAtSampleDeviceInC=14.8,16
GearType=Bottom trawl; HeadlineHeightInMetres=5.1; DoorDistanceInMetres=72.2; DistanceTrawledInNM=2.96; SurfaceSeaTemperatureInC=13.9; SeaTemperatureAtSampleDeviceInC=14.1,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.9; DoorDistanceInMetres=72.6; DistanceTrawledInNM=3.01; SurfaceSeaTemperatureInC=16.5; SeaTemperatureAtSampleDeviceInC=15.8,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.6; DoorDistanceInMetres=88.3; DistanceTrawledInNM=2.68,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=97.3; DistanceTrawledInNM=5.16,16
GearType=Bottom trawl; HeadlineHeightInMetres=4.3; DoorDistanceInMetres=100; DistanceTrawledInNM=1.6; SeaTemperatureAtSampleDeviceInC=5.8,16
MRMCS0150000007C_METH_001,16
MRMCS0150000005A_METH_001,16
MRMCS01500000024_METH_001,16
"spear, handlines",16
GearType=Scampi trawl; HeadlineHeightInMetres=1.2; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=10.3; SeaTemperatureAtSampleDeviceInC=8.8,16
MRNIR00100000021_METH_001,16
"small seine, dip nets",16
brail,16
ORI net (wire out: 2000 m),16
10 FOOT TRYNET,16
"Sampling Gear: Stramin-net, open, conical, 200 cm in diameter at opening, 1mm mesh size. Length of wire (m): 100. Duration of haul (minutes): 120",16
"Sampling Gear: Young-fish trawl, 200 cm in diameter at opening, 1mm mesh size, horizontal haul. Length of wire (m): 300. Duration of haul (minutes): 60",16
TrawlType=B.TR. 64.6; HorizontalOpeningInM=28; VerticalOpeningInM=12; WarpLengthInM=1250,16
MRCCW3170000000E_METH_024,16
MRCCW31700000017_METH_005,16
TRAWL ETC.,16
TrawlType=B.TR. 31.2; HorizontalOpeningInM=14; VerticalOpeningInM=4,16
TrawlType=B.TR. 64.6; HorizontalOpeningInM=28; VerticalOpeningInM=12; WarpLengthInM=1030,16
"Scuba Diving,Houkeiwakutori",16
MRUMU1000000004F_METH_001,16
MRCON02300000003_METH_003,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=84.2; DistanceTrawledInNM=3.9,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.9; DoorDistanceInMetres=107.7; DistanceTrawledInNM=2.98; SurfaceSeaTemperatureInC=12.6; SeaTemperatureAtSampleDeviceInC=11.8,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.3; DoorDistanceInMetres=119.7; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=10.3; SeaTemperatureAtSampleDeviceInC=7.2,16
GearType=Bottom trawl; HeadlineHeightInMetres=6.6; DoorDistanceInMetres=128.8; DistanceTrawledInNM=2.45; SurfaceSeaTemperatureInC=9.5; SeaTemperatureAtSampleDeviceInC=7,16
GearType=Bottom trawl; HeadlineHeightInMetres=7; DoorDistanceInMetres=125.3; DistanceTrawledInNM=3.02; SurfaceSeaTemperatureInC=9.4; SeaTemperatureAtSampleDeviceInC=7.5,16
MRMCS02000000033_METH_001,16
MRMCS01700000003_METH_001,16
MRLRC02300000009_METH_001,16
MRMCS00500000064_METH_001,16
rotenone & dipnets; seines,16
"4m hexagonal net; wire out: 150, 75, S(30) m; towing duration: 10, 10, 10 min.; wire angle: 62 deg., 69 deg., 73 deg.",16
GearType=Bottom trawl; HeadlineHeightInMetres=4; DoorDistanceInMetres=135; DistanceTrawledInNM=1.5; SurfaceSeaTemperatureInC=14.6; SeaTemperatureAtSampleDeviceInC=6,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.1; DistanceTrawledInNM=0.38; SurfaceSeaTemperatureInC=7.5; SeaTemperatureAtSampleDeviceInC=7.2,16
GearType=Bottom trawl; HeadlineHeightInMetres=7.1; DoorDistanceInMetres=118.8; DistanceTrawledInNM=3; SurfaceSeaTemperatureInC=9.1; SeaTemperatureAtSampleDeviceInC=6.1,16
GearType=Bottom trawl; HeadlineHeightInMetres=3.9; DoorDistanceInMetres=96.4; DistanceTrawledInNM=5.24,16
